1.txt,#genre#
"$IPV4『线路2』,http://tvfile.swrmt.com:80/nmip-media/channellive/channel100064/playlist.m3u8
"$IPV4『线路8』,https://tvfile.scjgtv.cn:443/nmip-media/channellive/channel104126/playlist.m3u8
#?zsicd$IPV4『线路2』,http://scdytv.cn:1935/live/m_xwpd_livevideo/playlist.m3u8
#@http://202.107.188.141:5002/shiheziyinshiwenti_hdgq.m3u8?token=guoziyun#@http://202.107.188.139:5002/shiheziyinshiwenti_hdcq.m3u8?token=guoziyun$IPV4『线路5』,http://124.88.144.73:1935/live/jjsh/playlist.m3u8
#EXTM3U x-tvg-url="https://live.fanmingming.com/e.xml" 1,http://epg.51zmt.top:8000/e.xml
#EXTM3U x-tvg-url="https://live.fanmingming.com/e.xml" 2,https://epg.pw/xmltv/epg_TW.xml
#EXTM3U x-tvg-url="https://live.fanmingming.com/e.xml" 3,https://epg.pw/xmltv/epg_CN.xml
#EXTM3U x-tvg-url="https://live.fanmingming.com/e.xml" 4,https://epg.pw/xmltv/epg_HK.xml
#http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8$IPV4『线路10』,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
#http://ali-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8$IPV4『线路6』,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
#http://dtrmlive.qhdtrm.cn/testpush/sd/live.m3u8#http://dtrmlive.qhdtrm.cn/testpush/sd/live.m3u8?#http://dtrmlive.qhdtrm.cn/testpush/sd/live.m3u8?$IPV4『线路4』,http://dtrmlive.qhdtrm.cn/testpush/playlist.m3u8
#http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8zzhed#http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8$IPV4『线路4』,http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8?zzhed
#http://l.cztvcloud.com/channels/lantian/SXpinghu2/720p.m3u8$IPV4『线路3』,http://l.cztvcloud.com/channels/lantian/SXpinghu2/720p.m3u8?zzhed
#http://live.wanyuannews.com/wytv/hd/live.m3u8#http://live.wanyuannews.com:80/wytv/hd/live.m3u8$IPV4,http://live.wanyuannews.com/wytv/hd/live.m3u8?zsicd
#http://livecdn.dmqhyadmin.com/hls/xjminhe.m3u8$IPV4『线路3』,http://livecdn.dmqhyadmin.com/hls/xjminhe.m3u8?zqinghd
#http://lxfile.lxxcb.cn/nmip-media/channellive/channel103799/playlist.m3u8#http://lxfile.lxxcb.cn:80/nmip-media/channellive/channel103799/playlist.m3u8$IPV4『线路3』,http://lxfile.lxxcb.cn/nmip-media/channellive/channel103799/playlist.m3u8?zsicd
#http://m3u8.channel.i0834.cn/nmpi-media/channellive/channel114103/playlist.m3u8#http://m3u8.channel.i0834.cn/nmpi-media/channellive/channel114103/playlist.m3u8?zsicd$IPV4『线路2』,http://file.yizu.tv/nmip-media/channellive/channel106606/playlist.m3u8
#http://tv.drs.lzgbdst.com:8100/channellive/lztv2.flv?zsicd$IPV4『线路2』,http://tvfile.lzgbdst.com/nmip-media/channellive/channel106876/playlist.m3u8?zsicd
#https://jwplay.hebyun.com.cn/live/xttv/1500k/tzwj_video.m3u8$IPV4『线路4』,https://jwplay.hebyun.com.cn/live/xttv/1500k/tzwj_video.m3u8?zhebd
#rtmp://tv.mcrm.org.cn:1935/channellive/tv01$IPV4『线路4』,http://file.ysxtv.cn/cms/videos/nmip-media/channellive/channel4/playlist.m3u8?zsicd
1.txt Stream 1018,http://58.243.224.244:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路1』
1.txt Stream 1022,http://183.131.246.250:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路5』
1.txt Stream 1025,http://49.87.154.246:85/tsfile/live/1017_1.m3u8?key=txiptv$IPV4『线路8』
1.txt Stream 1027,http://113.56.95.69:53765/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路10』
1.txt Stream 1028,http://218.92.37.174:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路11』
1.txt Stream 1029,http://42.48.105.224:9002/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路12』
1.txt Stream 1030,http://223.112.219.174:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路13』
1.txt Stream 1031,http://222.241.134.93:8099/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路14』
1.txt Stream 1033,http://58.220.219.14:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路16』
1.txt Stream 1034,http://58.221.214.82:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路17』
1.txt Stream 1035,http://61.157.139.15:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路18』
1.txt Stream 1065,http://58.243.224.244:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路1』
